UniqueID,Label,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11
1,SG,0.465,0.354,0.89,0.8,6.2,11.0,1.0,0.8,4.2,2.3,23.9
2,Unknown,,0.389,0.802,1.5,9.7,5.8,0.8,0.2,3.3,3.3,22.4
3,SG,0.41200000000000003,0.377,0.904,0.7,3.5,6.6,1.8,0.7,2.0,2.2,19.8
4,Unknown,0.44,0.382,0.873,0.9,4.6,3.0,0.8,1.2,1.7,2.7,23.3
5,PF,0.532,0.37799999999999995,0.6940000000000001,2.8,8.6,5.5,,0.5,3.2,3.5,21.1
6,SF,0.45799999999999996,0.413,0.883,0.5,6.6,4.5,1.3,0.5,2.4,1.8,26.6
7,C,0.5670000000000001,0.391,0.852,3.0,8.3,8.6,1.6,0.6,3.5,3.1,26.7
8,Unknown,0.446,0.37799999999999995,,0.4,4.0,7.2,1.0,0.3,3.0,1.4,
9,PG,0.441,0.386,0.893,0.6,3.7,6.5,1.3,0.2,2.0,1.8,21.3
10,PF,0.46799999999999997,0.301,0.7859999999999999,2.1,5.4,4.4,1.1,0.6,2.2,3.1,20.6
11,PF,0.489,0.413,0.853,1.1,5.3,3.5,0.8,0.2,1.4,1.2,16.6
12,SF,0.486,0.42200000000000004,0.8640000000000001,0.9,4.5,3.8,1.1,0.4,2.1,1.9,22.3
13,SG,0.519,0.43,0.863,0.7,4.7,5.3,1.1,0.5,3.8,2.6,28.1
14,SG,0.46799999999999997,0.33299999999999996,0.8909999999999999,1.5,3.5,4.5,1.3,0.6,3.0,2.6,32.8
15,SG,0.48100000000000004,0.355,0.821,0.2,3.5,4.2,1.0,0.4,3.9,3.3,23.8
16,PG,0.466,0.32299999999999995,0.7879999999999999,0.9,7.8,9.4,1.0,0.7,4.2,2.1,28.5
17,SG,0.376,0.375,0.86,0.3,4.5,3.0,0.9,0.4,1.9,2.8,16.2
18,SG,0.486,0.425,0.815,0.6,1.9,4.3,1.0,0.2,2.5,2.8,22.8
19,SF,0.47,0.396,0.865,0.6,4.9,4.6,0.6,1.0,2.4,1.7,23.9
20,Unknown,0.441,0.336,0.784,0.7,3.3,4.4,1.1,0.3,2.0,2.2,18.3
21,PG,0.498,0.391,0.716,0.6,7.3,7.9,1.1,0.5,3.8,1.6,25.6
22,PG,0.444,0.379,0.878,0.8,4.6,6.6,1.1,0.2,2.9,3.2,17.4
23,SG,0.426,0.284,0.741,1.2,5.0,3.1,0.7,0.2,1.9,2.5,16.7
24,SF,0.513,0.389,0.879,0.8,5.0,5.0,1.8,0.6,1.8,1.5,26.7
25,PG,0.423,0.36700000000000005,0.889,0.7,3.3,9.2,0.7,0.3,4.2,2.1,26.5
26,PF,0.509,0.41600000000000004,0.89,1.3,6.2,3.0,0.8,0.9,2.2,2.1,20.1
27,SF,0.508,0.478,0.905,0.7,5.6,5.5,1.2,0.5,3.6,2.3,24.4
28,PG,0.49,0.435,0.93,0.5,5.0,5.9,1.3,0.1,3.3,2.0,30.0
29,SG,0.506,0.382,0.7709999999999999,0.7,4.9,6.5,0.9,0.7,3.0,2.0,22.6
30,PF,0.535,0.298,0.7040000000000001,2.0,6.5,3.1,1.4,1.9,2.0,1.9,22.9
31,SG,0.431,0.406,0.8490000000000001,1.0,3.4,5.2,0.8,0.4,3.0,2.2,24.1
32,SF,0.506,0.397,0.8170000000000001,1.5,4.0,2.2,0.6,1.0,0.8,2.0,14.5
33,C,0.488,0.435,0.8140000000000001,2.1,9.3,3.5,1.1,0.6,1.7,1.8,24.0
34,SG,0.39899999999999997,0.276,,0.9,1.4,1.8,1.1,0.4,1.2,2.8,7.6
35,PG,0.353,0.35,0.775,0.5,2.4,5.8,1.0,0.0,1.5,1.6,14.1
36,Unknown,0.40700000000000003,0.363,0.87,0.4,4.2,5.4,0.4,0.1,2.4,2.4,15.6
37,C,0.568,0.4,0.85,1.9,7.4,5.2,1.0,1.0,3.1,2.6,19.7
38,Unknown,0.563,0.28,0.633,1.7,9.5,5.6,1.0,1.2,3.6,3.1,28.1
39,SG,0.512,0.409,0.763,1.2,4.4,3.5,1.3,0.6,2.6,2.9,26.0
40,PF,0.491,0.33299999999999996,0.893,0.8,4.3,6.8,0.7,,1.7,1.8,20.3
41,PG,0.47700000000000004,0.35700000000000004,0.684,0.7,2.7,6.7,1.2,0.5,3.2,2.7,23.4
42,SF,0.415,0.397,0.8540000000000001,0.0,3.7,1.7,0.4,0.3,1.6,2.2,12.7
43,PG,0.556,0.16699999999999998,0.636,1.6,6.7,8.0,1.7,0.8,3.4,3.3,14.0
44,SG,0.49,0.45,0.789,0.5,3.5,3.0,1.2,0.4,1.6,2.0,20.1
45,SF,0.513,0.451,0.899,0.8,5.1,6.2,1.0,0.1,2.3,2.7,20.6
46,PF,0.613,0.308,0.701,2.5,4.3,2.9,1.0,0.7,2.4,2.7,24.3
47,Unknown,0.502,0.387,0.7909999999999999,1.3,3.5,5.4,1.9,0.6,1.6,1.7,16.4
48,Unknown,0.45299999999999996,0.442,0.818,1.0,5.7,2.2,0.6,0.6,1.1,2.8,7.6
49,PG,0.474,0.341,0.971,0.6,4.0,8.1,1.2,0.3,2.4,2.8,16.9
50,C,0.574,0.214,0.7240000000000001,3.9,8.7,1.9,0.3,1.1,2.2,3.4,14.1
51,Unknown,0.456,0.39299999999999996,0.855,1.0,4.2,2.4,0.8,0.2,1.5,1.7,21.0
52,SF,0.514,0.366,0.877,0.9,4.5,2.2,0.9,0.5,1.4,2.6,17.2
53,C,0.545,0.381,0.8490000000000001,1.9,9.0,2.9,1.3,1.3,3.4,2.4,29.4
54,SG,0.401,0.32899999999999996,0.74,0.2,5.0,4.6,1.4,0.4,2.2,2.4,19.1
55,PF,0.469,0.374,0.6629999999999999,1.0,3.7,2.2,0.6,1.3,1.6,2.5,17.6
56,SG,0.47200000000000003,0.42700000000000005,0.778,0.7,3.4,1.6,1.2,0.3,0.7,2.4,11.3
57,PF,0.5489999999999999,0.40399999999999997,0.845,2.2,,1.6,0.5,1.0,1.4,3.2,18.1
58,SG,0.435,0.414,0.762,0.8,3.0,3.6,1.2,0.2,1.2,2.4,12.4
59,PF,0.365,0.315,0.71,0.4,4.9,3.9,0.7,0.1,,2.1,12.3
60,SF,0.519,0.49200000000000005,0.632,0.6,2.9,2.0,0.5,0.2,0.8,2.4,14.8
61,Unknown,0.43799999999999994,0.302,0.825,0.6,3.2,4.4,0.9,0.1,2.1,2.7,14.1
62,PF,0.386,0.28,0.759,0.6,7.0,1.6,0.4,0.8,1.9,1.1,11.7
63,SF,0.42100000000000004,0.409,0.863,0.5,3.5,2.2,0.4,0.0,1.4,1.5,15.7
64,Unknown,0.511,0.33299999999999996,0.757,1.3,5.4,1.0,1.1,3.4,1.5,3.6,13.3
65,PG,0.419,0.376,0.7390000000000001,0.6,3.9,4.8,1.3,0.5,1.9,2.4,13.8
66,SG,0.44299999999999995,0.397,0.778,0.2,3.0,1.7,0.7,0.2,0.9,1.6,16.8
67,SG,0.45,0.33299999999999996,0.733,0.7,1.8,1.7,0.9,0.2,0.7,1.9,10.1
68,PF,0.34299999999999997,0.3,0.938,0.7,5.3,1.8,1.6,0.6,1.1,2.6,7.2
69,PG,0.446,0.33299999999999996,0.7879999999999999,0.6,6.4,5.0,1.5,0.1,1.7,2.2,14.7
70,C,0.627,,0.555,3.7,9.8,1.3,0.4,2.8,1.7,2.3,14.0
71,SF,0.466,0.325,0.779,1.7,5.2,2.2,0.8,0.5,1.5,2.3,14.3
72,PF,0.389,0.348,0.8240000000000001,0.9,3.6,1.4,,0.6,1.0,3.0,4.9
73,C,0.647,0.2,0.789,2.5,5.4,1.8,0.7,1.7,1.5,4.2,12.8
74,SF,0.436,0.40399999999999997,0.75,0.5,3.2,,0.8,0.4,1.5,1.8,11.6
75,SF,0.494,0.45899999999999996,0.867,0.9,4.1,2.3,1.3,0.3,0.7,1.8,10.0
76,SG,0.433,0.451,0.767,0.6,1.7,1.3,0.7,0.2,0.7,1.4,14.8
77,SG,0.444,0.42,0.653,0.5,3.1,3.7,0.7,0.3,1.8,1.6,13.3
78,PG,0.45,0.41,0.815,1.0,2.7,5.8,1.4,0.1,2.0,1.8,16.5
79,PG,0.495,0.449,0.867,1.0,2.5,5.4,1.2,0.7,1.6,1.3,12.1
80,PG,0.426,0.39899999999999997,0.75,0.5,2.2,5.1,1.1,0.5,2.7,2.0,19.3
81,SF,0.387,0.313,0.762,1.2,2.2,2.7,1.3,0.4,2.2,3.1,15.4
82,SG,0.414,0.32799999999999996,0.765,0.7,2.7,1.4,0.9,0.3,1.3,2.6,11.8
83,Unknown,0.5870000000000001,0.0,0.473,4.3,4.8,2.3,1.0,0.5,1.8,2.0,8.1
84,Unknown,0.401,0.3,0.75,1.3,4.4,1.4,1.0,0.8,1.4,2.3,13.8
85,Unknown,0.556,,0.537,4.6,9.5,1.0,0.8,2.3,1.5,2.3,13.4
86,Unknown,0.474,0.0,0.597,4.0,9.4,2.6,1.6,1.2,3.2,2.8,17.5
87,SG,0.45899999999999996,0.361,0.831,0.3,2.1,2.4,0.6,0.5,2.0,1.4,18.6
88,PF,0.353,0.19,0.7,0.5,4.9,8.0,1.4,0.5,2.8,3.1,5.1
89,C,0.66,,0.478,3.6,4.8,0.5,1.2,1.5,0.8,2.9,8.4
90,PF,0.42,0.32899999999999996,0.738,1.7,4.9,3.0,0.9,1.3,2.0,2.7,11.2
91,Unknown,0.439,0.354,0.767,1.2,3.4,4.9,1.4,0.6,1.2,1.1,10.2
92,SG,0.405,0.32899999999999996,0.894,0.3,2.7,2.0,1.0,0.5,1.7,2.0,14.5
93,PF,0.488,0.265,0.594,1.8,4.1,1.6,1.2,0.8,0.6,1.5,13.3
94,Unknown,0.451,0.359,0.78,1.0,5.3,3.8,0.8,0.8,1.5,1.7,13.0
95,SF,0.358,0.25,0.785,0.8,3.1,1.3,1.1,0.2,1.3,2.6,10.9
96,PG,0.431,0.245,0.7040000000000001,1.3,2.5,3.6,0.6,0.2,2.0,2.0,12.1
97,SF,0.39,0.361,0.7140000000000001,1.0,2.7,1.9,1.1,0.7,1.3,1.6,8.7
98,SF,0.442,0.34700000000000003,0.705,1.1,6.6,2.1,0.9,0.2,0.7,2.2,8.4
99,SG,0.5,0.5,1.0,0.2,1.7,2.6,0.8,0.3,1.2,1.7,12.8
100,Unknown,0.37,0.34299999999999997,0.848,0.3,4.7,2.2,0.9,0.1,0.9,2.2,10.1
101,SG,0.45299999999999996,0.424,0.878,0.4,2.4,1.4,1.1,0.2,1.3,2.0,16.3
102,PF,0.45899999999999996,0.389,0.7879999999999999,0.8,3.5,1.0,0.8,0.7,1.5,2.3,10.0
103,Unknown,0.593,0.0,,3.0,5.8,3.2,1.0,0.7,2.1,3.5,9.9
104,C,0.5660000000000001,0.368,0.7759999999999999,3.2,7.8,2.1,0.8,0.9,2.4,3.4,16.1
105,Unknown,0.442,0.353,0.797,1.5,4.5,6.0,1.5,0.3,2.6,2.6,14.6
106,Unknown,0.382,0.324,0.807,0.7,2.7,2.2,0.7,0.3,1.5,1.5,14.2
107,C,0.465,0.36,0.825,1.5,3.7,0.7,0.5,1.4,0.8,2.0,11.2
108,SG,0.397,0.355,0.8,0.2,2.8,1.7,0.5,0.4,1.1,2.2,10.8
109,SF,0.40299999999999997,0.375,0.7859999999999999,0.3,3.3,1.3,0.8,0.2,0.7,2.5,8.7
110,SG,0.41100000000000003,0.35200000000000004,0.8,0.5,2.5,2.1,1.1,0.4,1.1,2.3,8.5
111,Unknown,0.375,0.325,0.836,0.8,3.6,3.8,0.7,0.4,2.0,2.0,11.0
112,SF,0.45899999999999996,0.278,0.585,1.8,2.7,0.6,0.9,0.8,0.7,2.6,7.2
113,C,0.43799999999999994,0.365,0.688,1.0,4.9,2.0,0.8,0.8,1.4,2.5,10.4
114,SF,0.544,0.313,0.725,1.6,3.5,1.6,0.8,0.7,1.2,2.9,9.2
115,PF,0.47,0.375,0.938,1.3,4.4,1.9,0.7,0.8,1.7,2.3,10.1
116,SF,0.503,0.45399999999999996,0.897,0.5,3.0,4.6,0.3,0.2,1.5,1.7,11.5
117,SF,0.375,0.33799999999999997,0.765,0.7,2.4,2.6,0.9,0.1,1.0,2.1,11.0
118,PG,,0.37799999999999995,0.75,0.2,1.8,3.4,0.7,0.2,0.6,0.8,11.0
119,C,0.6609999999999999,0.25,0.752,2.9,5.8,1.6,0.5,1.7,1.5,1.6,12.2
120,PF,0.494,0.418,0.821,0.4,3.2,,0.7,0.2,0.9,2.1,9.1
121,PF,0.436,0.366,0.885,0.7,3.0,1.5,0.7,0.3,0.8,1.3,11.3
122,SG,0.415,0.402,0.706,1.0,3.3,2.6,1.3,0.2,1.2,1.5,9.5
123,Unknown,0.45899999999999996,0.377,0.975,0.9,3.3,2.0,0.8,0.3,1.8,1.5,17.7
124,Unknown,0.512,0.354,0.769,1.0,3.2,1.3,0.3,0.1,1.0,1.8,12.8
125,PF,0.59,0.25,0.517,2.2,3.1,4.3,1.3,0.5,2.0,2.7,11.2
126,PF,0.341,0.331,0.8,0.5,2.4,1.0,0.7,0.3,0.7,2.5,10.2
127,Unknown,0.452,0.40700000000000003,0.943,0.3,1.6,2.7,0.7,0.0,0.9,1.4,13.3
128,PF,0.39899999999999997,0.39299999999999996,0.851,0.5,3.0,1.2,0.8,0.8,0.9,2.0,13.5
129,PF,0.473,0.373,0.493,2.1,5.3,0.9,0.5,0.5,1.5,2.6,12.5
130,SG,0.46399999999999997,0.446,0.84,0.3,2.0,1.4,0.7,0.3,1.0,1.6,8.6
131,C,,0.0,0.726,2.3,4.0,1.0,0.7,0.7,1.2,2.1,13.5
132,SF,0.442,0.36200000000000004,0.636,1.8,4.2,1.1,0.3,0.7,1.2,1.6,10.7
133,Unknown,0.409,0.37799999999999995,0.7709999999999999,0.4,2.8,1.1,0.7,0.1,0.7,1.7,10.3
134,Unknown,0.594,,0.778,4.2,6.9,1.2,0.6,0.8,1.2,2.5,11.5
135,Unknown,0.452,0.306,0.875,0.5,1.4,3.0,0.7,0.2,1.5,2.2,14.0
136,Unknown,0.35,0.195,,0.4,3.1,,1.4,0.0,2.2,2.3,6.0
137,C,0.517,0.391,0.821,1.9,4.7,1.7,0.2,1.3,1.3,1.9,11.7
138,PG,0.44299999999999995,0.27,0.769,0.6,2.2,5.6,1.3,0.1,1.0,0.6,8.7
139,PF,0.516,0.4,0.7070000000000001,1.6,3.5,1.6,0.8,0.5,1.0,2.2,10.4
140,SG,0.42200000000000004,0.313,0.7,0.7,3.2,2.0,1.0,1.0,2.4,2.8,12.6
141,C,0.583,0.418,0.667,1.4,3.9,1.4,0.6,1.0,1.0,2.8,9.6
142,SG,0.508,0.28600000000000003,0.667,0.9,4.3,2.4,1.1,0.4,1.5,2.6,12.8
143,PG,0.521,0.413,0.887,0.2,3.0,3.7,0.4,0.0,1.2,,11.7
144,C,0.534,0.441,0.7390000000000001,2.0,4.9,1.0,0.5,2.0,0.7,2.7,13.8
145,SG,0.46799999999999997,0.445,0.75,0.4,1.7,1.1,0.4,0.2,0.7,1.4,11.1
146,SF,0.44,0.369,0.5329999999999999,0.6,4.1,1.7,0.8,0.2,0.8,2.6,7.1
147,SG,0.40700000000000003,0.41,0.8859999999999999,0.4,2.4,1.9,1.1,0.2,1.2,1.3,9.8
148,SG,0.484,0.48200000000000004,0.8240000000000001,0.5,2.2,1.6,0.7,0.2,1.2,1.9,10.3
149,PG,0.397,0.366,0.632,,2.4,2.9,1.0,0.0,1.8,2.1,7.5
150,PG,0.483,0.35700000000000004,0.222,0.8,2.7,6.6,1.7,,1.7,1.4,5.2
151,SF,0.47600000000000003,0.289,0.629,1.0,2.0,1.1,1.0,0.7,0.6,2.0,8.2
152,C,0.5660000000000001,0.0,0.455,2.2,3.7,1.3,0.2,1.2,0.9,2.3,5.9
153,C,0.527,0.38799999999999996,0.738,1.4,3.6,1.3,0.7,1.3,1.2,3.2,12.8
154,PF,0.489,0.0,0.609,2.8,5.4,0.9,0.3,0.4,0.9,2.2,6.8
155,PF,0.415,0.36700000000000005,0.762,1.0,,1.5,0.7,0.5,1.1,1.9,11.1
156,PF,0.40399999999999997,0.409,0.8490000000000001,0.4,3.2,1.7,0.7,0.7,,1.9,9.0
157,SG,0.43,0.364,0.7140000000000001,0.3,2.1,2.1,0.6,0.0,1.1,1.6,7.7
158,Unknown,0.495,0.447,0.8390000000000001,1.2,2.6,1.4,1.0,0.3,1.0,2.2,7.3
159,Unknown,0.616,,0.278,2.8,4.0,1.7,0.6,1.4,1.1,2.0,6.3
160,Unknown,0.511,0.2,0.767,2.7,3.3,1.2,0.7,0.7,0.6,1.7,6.8
161,SF,0.36700000000000005,0.325,0.455,0.5,3.3,2.3,,0.4,1.0,1.4,4.4
162,SG,0.462,0.447,0.846,0.2,2.6,1.7,0.3,0.2,0.9,1.6,7.8
163,Unknown,0.353,0.195,0.735,1.0,1.8,1.2,0.9,0.7,0.8,1.9,5.3
164,C,0.546,0.46399999999999997,0.667,2.0,5.4,1.1,0.8,0.4,0.7,1.9,11.2
165,SG,0.483,0.44799999999999995,0.917,0.5,2.1,2.2,0.7,0.3,1.3,1.9,8.1
166,PF,0.534,0.3,0.7859999999999999,1.3,3.4,1.6,0.9,0.8,0.6,2.6,7.9
